Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0108 of 2011,Senate Bill,Income tax; credit; credit for the purchase of hearing aids; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 273.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0109 of 2011 (PA 0197 of 2012),Senate Bill,Human services; services or financial assistance; access to cash benefits from automatic teller machines (ATMs) located in casinos; prohibit. Amends 1939 PA 280 (MCL 400.1 - 400.119b) by adding sec. 57v.Last Action: ASSIGNED PA 0197'12 WITH IMMEDIATE EFFECT
SB 0110 of 2011,Senate Bill,"State financing and management; funds; distribution of 21st century jobs fund money into funding ""Pure Michigan""; provide for. Amends sec. 88b of 1984 PA 270 (MCL 125.2088b).Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SB 0111 of 2011,Senate Bill,Economic development; renaissance zones; entrepreneurial renaissance zones (e-zones); create. Amends sec. 3 of 1996 PA 376 (MCL 125.2683) & adds sec. 8i.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0112 of 2011,Senate Bill,"Education; school districts; education financial emergency resolution board to provide oversight of school district emergency financial managers; create, and prescribe powers and duties. Amends sec. 38 of 1990 PA 72 (MCL 141.1238).Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0113 of 2011,Senate Bill,"Education; school districts; school district improvement plan to be developed and incorporated into emergency financial manager's written financial plan; require, and require certain reporting. Amends sec. 40 of 1990 PA 72 (MCL 141.1240).  TIE BAR WITH: SB 0112'11Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0114 of 2011,Senate Bill,Education; reports; reporting requirements for emergency financial managers; revise to include specific dates and to require reporting to additional state officials. Amends secs. 21a & 41a of 1990 PA 72 (MCL 141.1221a & 141.1241a).  TIE BAR WITH: SB 0112'11Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0115 of 2011,Senate Bill,Education; reports; certain additional information to be included in list published by department of lowest-performing 5% of schools in state; require. Amends sec. 1280c of 1976 PA 451 (MCL 380.1280c).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0116 of 2011 (PA 0348 of 2012),Senate Bill,"Labor; collective bargaining; requirement for agency fee for nonunion members; prohibit in bargaining agreements and as a condition of employment in the private sector. Amends title & secs. 1, 2, 8, 14, 17 & 22 of 1939 PA 176 (MCL 423.1 et seq.).Last Action: ASSIGNED PA 0348'12"
SB 0117 of 2011,Senate Bill,Public employees and officers; ethics; financial disclosure report; require certain candidates for elective office and state and local officials to file. Creates new act.Last Action: REFERRED TO COMMITTEE ON LOCAL GOVERNMENT AND ELECTIONS
SB 0118 of 2011 (PA 0071 of 2011),Senate Bill,Sales tax; other; provision regarding taxpayer as materialperson; revise to include other materials. Amends sec. 6 of 1933 PA 167 (MCL 205.56).Last Action: ASSIGNED PA 0071'11 WITH IMMEDIATE EFFECT
SB 0119 of 2011,Senate Bill,Education; curricula; celebrate freedom week to be observed in all public schools; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1167.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0120 of 2011,Senate Bill,Labor; collective bargaining; right-to-work zones; allow local units of government to establish. Amends sec. 14 of 1939 PA 176 (MCL 423.14) & adds sec. 14a.Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0121 of 2011,Senate Bill,Retirement; public school employees; definition of eligible employees; expand to include administrators or faculty employed at a community college on a part-time basis. Amends sec. 2 of 1967 PA 156 (MCL 38.382).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 0122 of 2011 (PA 0001 of 2011),Senate Bill,"Environmental protection; groundwater contamination; incentives for verification under the Michigan agriculture environmental assurance program (MAEAP); provide for. Amends secs. 8801, 8802, 8805, 8806 & 8807 of 1994 PA 451 (MCL 324.8801 et seq.) & adds sec. 3109d.  TIE BAR WITH: HB 4212'11Last Action: ASSIGNED PA 0001'11 WITH IMMEDIATE EFFECT"
SB 0123 of 2011,Senate Bill,"Environmental protection; groundwater contamination; Michigan agriculture environmental assurance program (MAEAP); codify. Amends secs. 8702, 8703, 8704, 8705, 8706, 8707, 8708, 8709, 8710, 8713, 8714, 8715 & 8716 of 1994 PA 451 (MCL 324.8702 et seq.) & adds sec. 8713a.  TIE BAR WITH: SB 0122'11Last Action: referred to Committee on Agriculture"
SB 0124 of 2011,Senate Bill,"Crimes; other; cyberbullying; prohibit, and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 411w.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0125 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of cyberbullying; enact. Amends sec. 16t, ch. XVII of 1927 PA 175 (MCL 777.16t).  TIE BAR WITH: SB 0124'11Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 0126 of 2011,Senate Bill,Use tax; collections; use tax on difference between trade-in and purchase price for motor vehicles and titled watercraft; provide for. Amends sec. 2 of 1937 PA 94 (MCL 205.92).Last Action: referred to Committee on Tax Policy
SB 0127 of 2011,Senate Bill,Sales tax; collections; sales tax on difference between trade-in and purchase price for motor vehicles and titled watercraft; provide for. Amends sec. 1 of 1933 PA 167 (MCL 205.51).Last Action: referred to second reading
SB 0128 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for viatical settlement fraud; enact. Amends sec. 15a, ch. XVII of 1927 PA 175 (MCL 777.15a).  TIE BAR WITH: SB 0129'11Last Action: REFERRED TO COMMITTEE ON INSURANCE"
SB 0129 of 2011,Senate Bill,Insurance; life; viatical settlement contracts and stranger-originated life insurance; regulate. Amends title of 1956 PA 218 (MCL 500.100 - 500.8302); adds ch. 43 & repeals 1996 PA 386 (MCL 550.521 - 550.528).  TIE BAR WITH: SB 0128'11Last Action: REFERRED TO COMMITTEE ON INSURANCE
SB 0130 of 2011 (PA 0013 of 2012),Senate Bill,Traffic control; civil infraction procedures; minimum number of unpaid parking tickets a person may have before the secretary of state will not issue or renew the person's operator's license; revise. Amends sec. 321a of 1949 PA 300 (MCL 257.321a).Last Action: ASSIGNED PA 0013'12 WITH IMMEDIATE EFFECT
SB 0131 of 2011,Senate Bill,Education; other; education mandate rollback contracts waiving certain statutory and administrative requirements as part of performance contract; allow. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1290 & repeals sec. 1290 of 1976 PA 451 (MCL 380.1290).Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0132 of 2011,Senate Bill,School aid; other; school aid requirements; make subject to education mandate rollback contracts. Amends 1979 PA 94 (MCL 388.1601 - 388.1772) by ading sec. 9.  TIE BAR WITH: SB 0131'11Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0133 of 2011,Senate Bill,Income tax; checkoff; money received from certain income tax checkoff to be used for training purposes only; require. Amends sec. 13 of 1966 PA 291 (MCL 29.373).  TIE BAR WITH: SB 0134'11Last Action: PLACED ON ORDER OF THIRD READING
SB 0134 of 2011,Senate Bill,Income tax; checkoff; donation to the Michigan firefighter training council; provide for check-off option. Amends sec. 435 of 1967 PA 281 (MCL 206.435).  TIE BAR WITH: SB 0133'11Last Action: PLACED ON ORDER OF THIRD READING
SB 0135 of 2011,Senate Bill,Children; parental rights; process for judicial waiver of parental consent requirement; clarify. Amends secs. 3 & 4 of 1990 PA 211 (MCL 722.903 & 722.904).Last Action: PLACED ON IMMEDIATE PASSAGE
SB 0136 of 2011,Senate Bill,Transportation; railroads; abolishment of certain grade crossings; allow if less than 500 vehicles a day use that crossing. Amends sec. 307 of 1993 PA 354 (MCL 462.307).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION
SB 0137 of 2011,Senate Bill,Education; discipline; policy prohibiting harassment and bullying at school; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1310b.Last Action: referred to Committee on Education
SB 0138 of 2011 (PA 0083 of 2011),Senate Bill,Appropriations; zero budget; supplemental appropriations; provide for fiscal year 2010-2011. Creates appropriation act.Last Action: ASSIGNED PA 0083'11 WITH IMMEDIATE EFFECT
SB 0139 of 2011 (PA 0047 of 2011),Senate Bill,State financing and management; budget; revenue estimating conference; include additional variables and provide general amendments. Amends secs. 367b & 386 of 1984 PA 431 (MCL 18.1367b & 18.1386).Last Action: ASSIGNED PA 0047'11 WITH IMMEDIATE EFFECT
SB 0140 of 2011 (PA 0016 of 2011),Senate Bill,Appropriations; supplemental; appropriation for Michigan natural resources trust fund; provide for fiscal year 2011. Creates appropriation act.Last Action: ASSIGNED PA 0016'11 WITH IMMEDIATE EFFECT
SB 0141 of 2011 (PA 0023 of 2011),Senate Bill,Property; conveyances; restrictions regarding park use of land conveyed to city of Gladwin; modify. Creates land transfer act & repeals sec. 1 of 1983 PA 100.Last Action: ASSIGNED PA 0023'11 WITH IMMEDIATE EFFECT
SB 0142 of 2011,Senate Bill,Property tax; personal property; personal property of certain businesses; exempt. Amends 1893 PA 206 (MCL 211.1 - 211.155) by adding sec. 9n.Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 0143 of 2011,Senate Bill,Sales tax; collections; distribution of certain amount of revenue collected restricted to fund for tourism marketing and promotion; provide for. Amends sec. 25 of 1933 PA 167 (MCL 205.75).Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM
SB 0144 of 2011 (PA 0022 of 2011),Senate Bill,State financing and management; funds; Michigan strategic fund 21st century investments; clarify certain definitions. Amends sec. 88a of 1984 PA 270 (MCL 125.2088a).Last Action: ASSIGNED PA 0022'11 WITH IMMEDIATE EFFECT
SB 0145 of 2011,Senate Bill,"Environmental protection; water pollution; application of oil field brine to county roads; reduce permit fee. Amends sec. 3122 of 1994 PA 451 (MCL 324.3122).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0146 of 2011,Senate Bill,Employment security; benefits; unemployment charge rate increase; provide exemptions for certain employers that eliminate positions due to temporary road closure. Amends sec. 20 of 1936 (Ex Sess) PA 1 (MCL 421.20).Last Action: REFERRED TO COMMITTEE ON ECONOMIC DEVELOPMENT
SB 0147 of 2011,Senate Bill,"Education; discipline; adoption and implementation of policy prohibiting harassment, intimidation, or cyberbullying; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1310b.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0148 of 2011,Senate Bill,Law enforcement; training; procedures regarding cyberbullying reporting; provide for. Creates new act.Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0149 of 2011 (PA 0013 of 2011),Senate Bill,Highways; signs; existing sign structures; allow interim permits. Amends secs. 7a & 17 of 1972 PA 106 (MCL 252.307a & 252.317).Last Action: ASSIGNED PA 0013'11 WITH IMMEDIATE EFFECT
SB 0150 of 2011,Senate Bill,Health; abortion; ultrasound equipment used on woman seeking an abortion; require use of most technologically advanced equipment on site. Amends sec. 17015 of 1978 PA 368 (MCL 333.17015).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 0151 of 2011,Senate Bill,Vehicles; equipment; requirement for use of crash helmet when operating an off-road vehicle on private lands; exempt under certain circumstances. Amends sec. 81133 of 1994 PA 451 (MCL 324.81133).Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM
SB 0152 of 2011 (PA 0479 of 2012),Senate Bill,"Criminal procedure; evidence; electronic recording of certain custodial interrogation sessions; require under certain circumstances and revise procedures for determining admissibility as evidence. Amends 1927 PA 175 (MCL 760.1 - 777.69) by adding secs. 7, 8, 9, 10 & 11 to ch. III.Last Action: ASSIGNED PA 0479'12"
SB 0153 of 2011,Senate Bill,"Local government; other; local government and school district fiscal accountability act; create. Creates new act & repeals 1990 PA 72 (MCL 141.1201 - 141.1291).  TIE BAR WITH: SB 0154'11, SB 0155'11, SB 0156'11, SB 0157'11, SB 0158'11Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 0154 of 2011,Senate Bill,Cities; home rule; reference to local government and school district fiscal accountability act; provide for in the home rule city act. Amends sec. 36a of 1909 PA 279 (MCL 117.36a).  TIE BAR WITH: SB 0153'11Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0155 of 2011,Senate Bill,Local government; financing; reference to local government and school district fiscal accountability act; provide for in the revised municipal finance act. Amends sec. 303 of 2001 PA 34 (MCL 141.2303).  TIE BAR WITH: SB 0153'11Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0156 of 2011,Senate Bill,Elections; recall; reference to local government and school district fiscal accountability act; provide for in the Michigan election law. Amends sec. 971 of 1954 PA 116 (MCL 168.971).  TIE BAR WITH: SB 0153'11Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 0157 of 2011 (PA 0008 of 2011),Senate Bill,Education; school districts; schools operated by school district with emergency manager; exempt from being placed under supervision of state school reform/redesign officer. Amends sec. 1280c of 1976 PA 451 (MCL 380.1280c).  TIE BAR WITH: HB 4214'11Last Action: ASSIGNED PA 0008'11 WITH IMMEDIATE EFFECT
SB 0158 of 2011 (PA 0009 of 2011),Senate Bill,Labor; collective bargaining; certain limitations on collective bargaining rights and certain provisions in public collective bargaining agreements; require. Amends title & sec. 15 of 1947 PA 336 (MCL 423.215).  TIE BAR WITH: HB 4214'11Last Action: ASSIGNED PA 0009'11 WITH IMMEDIATE EFFECT
SB 0159 of 2011 (PA 0064 of 2011),Senate Bill,Criminal procedure; expunction; eligibility requirements for setting aside convictions; revise. Amends sec. 1 of 1965 PA 213 (MCL 780.621).Last Action: ASSIGNED PA 0064'11 WITH IMMEDIATE EFFECT
SB 0160 of 2011 (PA 0168 of 2011),Senate Bill,Health; abortion; partial-birth abortions; prohibit. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 90h.Last Action: ASSIGNED PA 0168'11 WITH IMMEDIATE EFFECT
SB 0161 of 2011,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of performing partial-birth abortion; enact. Amends sec. 16d, ch. XVII of 1927 PA 175 (MCL 777.16d).  TIE BAR WITH: SB 0160'11Last Action: re-referred to Committee on Families, Children, and Seniors"
SB 0162 of 2011,Senate Bill,Vehicles; registration plates; specialty plate for Michigan humane society; create. Amends sec. 811e of 1949 PA 300 (MCL 257.811e) & adds sec. 811r.Last Action: PLACED ON ORDER OF THIRD READING
SB 0163 of 2011,Senate Bill,"Communications; newspapers and magazines; methods for publication of legal notices; modify. Amends sec. 1 of 1963 PA 247 (MCL 691.1051) & repeals secs. 1461 & 1950 of 1961 PA 236 (MCL 600.1461 & 600.1950).  TIE BAR WITH: SB 0164'11Last Action: referred to Committee on Local, Intergovernmental, and Regional Affairs"
SB 0164 of 2011,Senate Bill,"Natural resources; other; reference to definition of newspaper in natural resources and environmental protection act; revise to reflect repeal of statutory definition. Amends sec. 2133 of 1994 PA 451 (MCL 324.2133).  TIE BAR WITH: SB 0163'11Last Action: referred to Committee on Local, Intergovernmental, and Regional Affairs"
SB 0165 of 2011 (PA 98 of 2011),Senate Bill,Construction; contracts; fair and open competition in governmental construction act; create. Creates new act.Last Action: ASSIGNED PA 98'11 WITH IMMEDIATE EFFECT
SB 0166 of 2011 (PA 0255 of 2011),Senate Bill,Traffic control; other; certain driver responsibility fees; eliminate. Amends sec. 732a of 1949 PA 300 (MCL 257.732a).Last Action: ASSIGNED PA 0255'11 WITH IMMEDIATE EFFECT
SB 0167 of 2011,Senate Bill,"Children; adoption; second parent adoption; provide for. Amends secs. 24 & 51, ch. X of 1939 PA 288 (MCL 710.24 & 710.51).Last Action: REFERRED TO COMMITTEE ON FAMILIES, SENIORS AND HUMAN SERVICES"
SB 0168 of 2011,Senate Bill,"Natural resources; wetlands; wetland mitigation; exempt county road commission. Amends sec. 30311d of 1994 PA 451 (MCL 324.30311d).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 0169 of 2011,Senate Bill,"Appropriations; zero budget; department of agriculture and rural development; provide for fiscal year 2011-2012. Creates appropriation act.Last Action: FOR FINAL DISPOSITION OF BUDGET, SEE HB 4526"
